sherdogId,name,beatUFCBound,lostToUFCBound,topMultiplier,lastDate,notableWins
Josh-Togo-240617,Josh Togo,1,1,0.35,2020-03-07,beat Ben Wall (2020-03-07)
Imran-Bukuev-200307,Imran Bukuev,1,0,0.35,2020-03-06,beat Felipe Bunes (2020-03-06)
Lisa-Verzosa-202449,Lisa Verzosa,1,1,0.68,2020-03-06,beat Shanna Young (2018-09-01)
Troy-Lamson-84348,Troy Lamson,1,2,0.55,2020-02-29,beat Kyle Prepolec (2017-08-05)
AJ-Bryant-157057,A.J. Bryant,1,1,0.35,2020-02-22,beat Jared Papazian (2019-07-06)
Zak-Bucia-23430,Zak Bucia,1,3,0.55,2020-02-22,beat Bobby Voelker (2017-05-20)
Alberth-Dias-159885,Alberth Dias,1,0,0.68,2020-02-22,beat Richie Smullen (2020-02-22)
Angga-Yudhatrisnamers-100295,Angga Yudhatrisnamers,1,0,0.68,2020-02-15,beat Jeka Saragih (2020-02-15)
Anthony-Taylor-173233,Anthony Taylor,1,0,0.68,2020-01-25,beat Chris Avila (2020-01-25)
Yuri-Fraga-21928,Yuri Fraga,1,2,0.35,2020-01-19,beat Brendson Ribeiro (2016-05-13)
Ivica-Truscek-22880,Ivica Truscek,1,10,0.55,2020-01-19,beat Colin Fletcher (2018-06-09)
Ayub-Gimbatov-113761,Ayub Gimbatov,1,0,0.35,2020-01-11,beat Steve Kennedy (2020-01-11)
Ali-Isaev-222567,Ali Isaev,1,0,0.68,2019-12-31,beat Jared Rosholt (2019-12-31)
Diego-Gonzalez-6001,Diego Gonzalez,1,8,0.55,2019-12-27,beat Steve Berger (2007-08-24)
Anzor-Abdulkhozjaev-214003,Anzor Abdulkhozjaev,1,0,0.55,2019-12-27,beat Rolando Dy (2019-12-27)
Liliya-Kazak-100799,Liliya Kazak,1,3,0.35,2019-12-22,beat Irina Alekseeva (2019-12-22)
Sam-Liera-16022,Sam Liera,1,0,0.35,2019-12-19,beat Paulo Thiago (2019-12-19)
Brendan-Lesar-219879,Brendan Lesar,1,1,0.35,2019-12-14,beat Garreth McLellan (2019-06-29)
Laurynas-Urbonavicius-216785,Laurynas Urbonavicius,1,0,0.35,2019-12-14,beat Ildemar Alcantara (2019-12-14)
Washington-Luiz-93947,Washington Luiz,1,2,0.35,2019-12-13,beat Pete Spratt (2017-12-09)
Maiquel-Falcao-30304,Maiquel Falcao,1,6,0.55,2019-12-07,beat Igor Pokrajac (2019-05-04)
Alberto-Rodriguez-2269,Alberto Rodriguez,1,3,0.68,2019-12-07,beat Brad Kohler (2003-09-15)
Dawond-Pickney-168561,Dawond Pickney,1,4,0.55,2019-12-06,beat Brandon Davis (2016-10-01)
