organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
MC,tier4,0.35,true,15,MC - Martial Combat 12
WCC,tier4,0.35,true,15,WCC 2 - Memorial Day Combat
SMMA,tier4,0.35,true,15,SMMA - Samourai MMA
Shamrock Events,tier4,0.35,true,15,Shamrock Events - Kings of Kombat 12
Fair FC,tier4,0.35,true,15,Fair FC 7 - Fair Fighting Championship 7
Desafio,tier4,0.35,true,15,Desafio - Natal vs. Nordeste
Atlas Fights,tier4,0.35,true,15,Atlas Fights - USA vs. Brazil
IRFA,tier4,0.35,true,15,IRFA - International Ring Fight Arena 10
FFF,tier4,0.35,true,15,FFF 2 - Girls Night Out
MFA,tier4,0.35,true,15,MFA - There Will Be Blood
PFE,tier4,0.35,true,15,PFE - Power Fight Extreme 12
IE,tier4,0.35,true,15,IE - Independent Event
Impact FC,tier4,0.35,true,15,Impact FC 2 - The Uprising: Sydney
XFS,tier4,0.35,true,15,XFS - Night of Champions 3
Smackgirl,tier4,0.35,true,15,Smackgirl - World ReMix 2004
PFP,tier4,0.35,true,15,PFP - Ring of Fire
CR,tier4,0.35,true,15,CR - Club Raw
FCFS,tier4,0.35,true,15,FCFS 5 - Full Contact Fight Series 5
F2N,tier4,0.35,true,14,F2N - Fight 2 Night 2
JFL,tier4,0.35,true,14,JFL 18 - Jasaji Fighting League 18
COGA,tier4,0.35,true,14,COGA 61 - Rumble on the Ridge 41
ICE,tier4,0.35,true,14,ICE 46 - International Combat Events 46
EBD,tier4,0.35,true,14,EBD 5 - European Beatdown 5
WOW,tier4,0.35,true,14,WOW 20 - Madrid: La Noche de los Campeones
Predador FC,tier4,0.35,true,14,Predador FC 9 - Welterweight Grand Prix
Smash Global,tier4,0.35,true,14,Smash Global 9 - Black Tie Fight Night
Gladiators of the Cage,tier4,0.35,true,14,Gladiators of the Cage - The North Shore's Rise to Power 4
CKF,tier4,0.35,true,14,CKF - Fighting League Finals 5: Day 1
Driller Promotions / SEG,tier4,0.35,true,14,Driller Promotions / SEG - Havoc at High Five 2
Pure FC,tier4,0.35,true,14,Pure FC 10 - The Dark Knights Rise
Future FC,tier4,0.35,true,14,Future FC 6  - Cado vs. Giacomo
CCCW,tier4,0.35,true,14,CCCW - The Uprising
IXFA,tier4,0.35,true,14,IXFA - International Xtreme Fight Association
RMMA,tier4,0.35,true,14,RMMA - Renaissance MMA 16
MFN,tier4,0.35,true,14,MFN - Mix Fight Night 8
CKFC,tier4,0.35,true,14,CKFC - Chinese Kung Fu Championships
Dana White's Tuesday Night Contender Series Brazil,tier2,0.78,false,14,"Dana White's Tuesday Night Contender Series Brazil - Season 1, Episode 3"
HC,tier4,0.35,true,14,HC 30 - Hanuman Cup 30
Alaska Fighting Championship,tier4,0.35,true,14,Alaska Fighting Championship 85 - Tortures & Takedowns
G-Force Fights,tier4,0.35,true,14,G-Force Fights - Bad Blood 3
Instinct MMA,tier4,0.35,true,14,Instinct MMA - Instinct Fighting 4
It's Showtime,tier4,0.35,true,14,It's Showtime - Christmas Edition
CFF,tier4,0.35,true,14,CFF - International MMA Tournament
SAS,tier4,0.35,true,14,SAS 6 - Strike and Submit 6
Shine Fights,tier4,0.35,true,14,Shine Fights 3 - 2010 Lightweight Grand Prix
ZTFN,tier4,0.35,true,14,ZTFN 2 - ZT Fight Night 2
UCC PG,tier4,0.35,true,14,UCC PG 9 - UCC Proving Ground 9
MMA Big Show,tier4,0.35,true,14,MMA Big Show - A Prodigy Returns
FFCC,tier4,0.35,true,14,FFCC - Finke's Full Contact Challenge
WPC,tier4,0.35,true,14,WPC - World Pankration Championships 2
MMASH,tier4,0.35,true,13,MMASH - MMA Super Heroes 7
BFS,tier4,0.35,true,13,BFS 8 - Brazilian Fighting Series 8
CTF,tier4,0.35,true,13,CTF - Curitiba Top Fight 12
FSC,tier4,0.35,true,13,FSC 14 - FightStar Championship 14
RFL,tier4,0.35,true,13,RFL - Maximum Impact
FCR,tier4,0.35,true,13,FCR 19 - Fight Club Rush 19
Superior FC,tier4,0.35,true,13,Superior FC 16 - Superior Fighting Championship 16
Anthony Pettis FC,tier4,0.35,true,13,Anthony Pettis FC 16 - Milwaukee Fight Night 7
Gladiator,tier4,0.35,true,13,Gladiator - Gladiator 021 in Osaka
BSC,tier4,0.35,true,13,BSC 15 - Budo Sento Championship 15
SPF,tier4,0.35,true,13,SPF - Super Pitbull Fight
24/7 Entertainment,tier4,0.35,true,13,24/7 Entertainment 9 - Enemy of the State
TFS,tier4,0.35,true,13,TFS - Tucuma Fighting Show 5
Iron Boy Promotions,tier4,0.35,true,13,Iron Boy Promotions - Iron Boy MMA 6
SFN,tier4,0.35,true,13,SFN 1 - Scandinavian Fight Nights
Bushido Lithuania,tier4,0.35,true,13,Bushido Lithuania - MMA Bushido 84
RC,tier4,0.35,true,13,RC 5 - Red Cage 5
CFL,tier4,0.35,true,13,CFL - California Fight League 8
COF,tier4,0.35,true,13,COF 8 - Centro Oeste Fight 8
Bitetti Combat,tier4,0.35,true,13,Bitetti Combat 9 - Middleweight Combat Cup
C3,tier4,0.35,true,13,C3 - Domination
UFR,tier4,0.35,true,13,UFR 10 - Ultimate Fighting Revolution 10
MMA Mexico,tier4,0.35,true,13,MMA Mexico 5 - De Poder a Poder
Brasil Fight,tier4,0.35,true,13,Brasil Fight 8 - 360
TCC,tier4,0.35,true,13,TCC 1 - Top Combat Championship 1
XFE,tier4,0.35,true,13,XFE 46 - CFFC 42
FLP,tier4,0.35,true,13,FLP - Fight Lab 45: MMA Cage Fights @ Grady Cole Center
RFO,tier4,0.35,true,13,RFO - Big Guns 19
PPKA,tier4,0.35,true,13,PPKA - Ultimate Fight Night 3
NF,tier4,0.35,true,13,NF - Norofight 1
HOP,tier4,0.35,true,13,HOP 7 - Cage Fever
RR,tier4,0.35,true,13,RR 6 - Roadhouse Rumble 6
EVT,tier4,0.35,true,13,EVT 5 - Phoenix
AFA,tier4,0.35,true,13,AFA 6 - Uprising
BONO,tier4,0.35,true,13,BONO 14 - Battle of New Orleans 14
AKA,tier4,0.35,true,12,AKA - Rite of Passage 19
MCF,tier4,0.35,true,12,MCF 18 - Midwest Championship Fighting 18
TFL,tier4,0.35,true,12,TFL 19 - Christmas Time
CEF,tier4,0.35,true,12,CEF 14 - Coliseu Extreme Fight 14
Batalha MMA,tier4,0.35,true,12,Batalha MMA  - Batalha MMA 14
FTF,tier4,0.35,true,12,FTF 13 - Face To Face 13 - Batista vs. Teixeira
CRF,tier4,0.35,true,12,CRF 32 - Center Real Fights 32
Eagles FC,tier4,0.35,true,12,Eagles FC - Eagles Fighting Championship
United Combat League,tier4,0.35,true,12,United Combat League - Havoc in Hammond 4
House of Fame,tier4,0.35,true,12,House of Fame 4 - Florida vs. Georgia
XCC,tier4,0.35,true,12,XCC 20 - Xtreme Caged Combat 20
CCW,tier4,0.35,true,12,CCW - California Cage Wars 13
BF,tier4,0.35,true,12,BF - Brothers Fighting 2
WUFC,tier4,0.35,true,12,WUFC - World Ultimate Full Contact 16
Fight Star,tier4,0.35,true,12,Fight Star - Battle on Sura 6
FS,tier4,0.35,true,12,FS - First Sunset
DH,tier4,0.35,true,12,DH - Dragon House 27
UC,tier4,0.35,true,12,UC - Union Combat 1
PCF,tier4,0.35,true,12,PCF 12 - Poland vs. Slovakia
Lights Out Championship,tier4,0.35,true,12,Lights Out Championship 16 - Bashi vs. Huskic
Conflict MMA,tier4,0.35,true,12,Conflict MMA 43 - Conflict MMA Promotions
K-Oz Entertainment,tier4,0.35,true,12,K-Oz Entertainment - Bragging Rights 7: Resurrection
B2 Fighting Series,tier4,0.35,true,12,B2 Fighting Series 151 - Kansas
LBFN,tier4,0.35,true,12,LBFN 8 - Long Beach Fight Night 8
ProElite,tier4,0.35,true,12,ProElite 2 - Big Guns
Dakota FC,tier4,0.35,true,12,Dakota FC 17 - Winter Brawl 2014
NLF,tier4,0.35,true,12,NLF 8 - Next Level Fighting 8
FWC,tier4,0.35,true,12,FWC 16 - FightWorld Cup 16
Trench Warz,tier4,0.35,true,12,Trench Warz 18 - Rock and Rumble
Ascend Combat,tier4,0.35,true,12,Ascend Combat - The Beginning
BOTE,tier4,0.35,true,12,BOTE - Beast of the East
JNI Promotions,tier4,0.35,true,12,JNI Promotions - Alone & Dangerous
PWP,tier4,0.35,true,12,PWP - War on the Mainland
WVF,tier4,0.35,true,12,WVF - Durango
Freedom Fight,tier4,0.35,true,12,Freedom Fight - For Honor and Pride
HHCF,tier4,0.35,true,12,HHCF 27 - Rumble at the Rodeo 2
Shooto Australia,tier3,0.55,false,12,Shooto Australia - NHB
DRFCF,tier4,0.35,true,11,DRFCF - Desert Rage Full Contact Fighting 10
AMC,tier4,0.35,true,11,AMC - Fight Nights 109
Glory of Heroes,tier4,0.35,true,11,Glory of Heroes 2 - Shenzhen
NCE,tier4,0.35,true,11,NCE 27 - New Corpore Extreme 27
PACF,tier4,0.35,true,11,PACF - PA Cage Fight 31
Phoenix Fighting Championship,tier4,0.35,true,11,Phoenix Fighting Championship - Phoenix 1
MMAC,tier4,0.35,true,11,MMAC - Conflict: The Beginning
Valor Fights,tier4,0.35,true,11,Valor Fights 37 - Grun vs. Anders
Premier FC,tier4,0.35,true,11,Premier FC - Premier Fighting Championship 8
XCF,tier4,0.35,true,11,XCF 10 - Xtreme Cage Fighter 10
RTP,tier4,0.35,true,11,RTP - Rumble Time Promotions
Arena Fight,tier4,0.35,true,11,Arena Fight 8 - In Memory of Meire Cabral
TAURA MMA,tier4,0.35,true,11,TAURA MMA - 1
ASC,tier4,0.35,true,11,ASC - Arena Sport Combat
SCF,tier4,0.35,true,11,SCF - Silva Combat Fight 3
Lions FC,tier4,0.35,true,11,Lions FC 8 - Lions Fighting Championship 8
UFN,tier4,0.35,true,11,UFN 15 - Urban Fight Night 15
AFS,tier4,0.35,true,11,AFS - Aries Fight Series: Nashville Underground
iFC,tier4,0.35,true,11,iFC 5 - Jorge Masvidal's iKon Fighting Championship 5
WH,tier4,0.35,true,11,WH - Igor Vovchanchyn Cup 2
OFS,tier4,0.35,true,11,OFS 11 - Octagon Fighting Sensation 11
APFC,tier4,0.35,true,11,APFC 17 - American Predator Fighting Championships 17
UWF,tier4,0.35,true,11,UWF - Tournament of Warriors Finale
Absolute Championship Berkut,tier4,0.35,true,11,Absolute Championship Berkut - Grand Prix Berkut 9
PFB,tier4,0.35,true,11,PFB - Platinum Fight Brazil 2
864 Fighting Championship,tier4,0.35,true,11,864 Fighting Championship - Fight 9
JHEFN,tier4,0.35,true,11,JHEFN - Jeremy Horn's Elite Fight Night 2
One Pride MMA Fight Night,tier2_5,0.68,false,11,One Pride MMA Fight Night 58 - The Warriors Return
XFFC,tier4,0.35,true,11,XFFC 13 - Future Stars
Extreme Challenge,tier4,0.35,true,11,Extreme Challenge - Bad Blood
Seconds Out / Vivid MMA,tier4,0.35,true,11,Seconds Out / Vivid MMA - Havoc at the Hyatt 2
DC,tier4,0.35,true,11,DC 6 - Duneland Classic 6
Adrenaline,tier4,0.35,true,11,Adrenaline 3 - Evolution
AM,tier4,0.35,true,11,AM 14 - Ready For War
Caged Steel,tier4,0.35,true,11,Caged Steel 25 - Caged Steel MMA
RXMMA,tier4,0.35,true,11,RXMMA - Rocks Xtreme MMA 12
The Cage Inc.,tier4,0.35,true,11,The Cage Inc. - Battle at the Border 7
Vision FC,tier4,0.35,true,11,Vision FC 5 - Finale
OT,tier4,0.35,true,11,OT - On Top 5
Shogun,tier4,0.35,true,11,Shogun 1 - Shogun 1
HTJ,tier4,0.35,true,11,HTJ - Hero's the Jungle 2
SC1,tier4,0.35,true,11,SC1 - Super Challenge 1
BVF,tier4,0.35,true,11,BVF 6 - Campeonato Brasileiro de Vale Tudo 1
Inoki Bom-Ba-Ye,tier4,0.35,true,11,Inoki Bom-Ba-Ye 2003 - Inoki Festival
MFDM,tier4,0.35,true,11,MFDM - Ballroom Brawl 2
SCMMA,tier4,0.35,true,11,SCMMA - Steele Cage 2
SRF,tier4,0.35,true,11,SRF 11 - Spartan Reality Fight 11
Strikeforce-EliteXC,historical,0.68,false,11,Strikeforce-EliteXC - Shamrock vs. Baroni
ES,tier4,0.35,true,11,ES - Extreme Shootout
UTS,tier4,0.35,true,11,UTS 6 - Ultimate Texas Showdown 6
NFA,tier4,0.35,true,11,NFA - Super Brawl
YAMMA,tier4,0.35,true,11,YAMMA - Pit Fighting 1
NC,tier4,0.35,true,10,NC - Nacao Cyborg 13
LOTC,tier4,0.35,true,10,LOTC - Battle at the Bay
Arena Global,tier4,0.35,true,10,Arena Global - Arena Global 12
Juiz de Fora Fight,tier4,0.35,true,10,Juiz de Fora Fight - JF Fight Evolution 19
United Fight League,tier4,0.35,true,10,United Fight League - UFL 4: Grand Prix Finals
GEFC,tier4,0.35,true,10,GEFC - Battle on the Gold Mountain
Xtreme Caged Combat,tier4,0.35,true,10,Xtreme Caged Combat - Reckless Abandon
OCL,tier4,0.35,true,10,OCL - Ohio Combat League 39
MMA Xplosion,tier4,0.35,true,10,MMA Xplosion - Vianna vs. Lacy
BattleGrounds MMA,tier4,0.35,true,10,BattleGrounds MMA 5 - O.N.E.: One Night Elimination
CMMA,tier4,0.35,true,10,CMMA - Conflict MMA 55
ACF,tier4,0.35,true,10,ACF - Tribute to Veterans
PRO Fighting,tier4,0.35,true,10,PRO Fighting - PRO FC 10
Grandslam MMA,tier4,0.35,true,10,Grandslam MMA 2 - Way of the Cage
NFAMMA,tier4,0.35,true,10,NFAMMA - Resurrection
KZMMAF,tier4,0.35,true,10,KZMMAF - Battle of Nomads 11
Arena Tour,tier4,0.35,true,10,Arena Tour 5 - Falcao vs. Taylor
Action Fight League,tier4,0.35,true,10,Action Fight League - Rock-N-Rumble 1
CATC,tier4,0.35,true,10,CATC 6 - Carnage at the Creek 6
Superbrawl,tier4,0.35,true,10,Superbrawl - Icon
PFA,tier4,0.35,true,10,PFA - Pride and Fury
BP,tier4,0.35,true,10,BP 12 - Botnia Punishment 12
ShoFight,tier4,0.35,true,10,ShoFight 20 - ShoFight 20
ADFC,tier4,0.35,true,10,ADFC - Round 3
MTL,tier4,0.35,true,10,MTL - Mo Team League 2
RFN,tier4,0.35,true,10,RFN  - Racine Fight Night 2
Maxfight,tier4,0.35,true,10,Maxfight - Warriors 13
RWE,tier4,0.35,true,10,RWE - Just Scrap
AFO,tier4,0.35,true,10,AFO - Halloween Havoc 3
Heat FC,tier4,0.35,true,10,Heat FC 1 - Genesis
247 FC,tier4,0.35,true,10,247 FC - Brawl in the Burgh 27
X,tier4,0.35,true,10,X - Fight
Shooto Holland,tier3,0.55,false,10,Shooto Holland - Knock-Out Gala 3
5150 Combat League / Xtreme Fighting League,tier4,0.35,true,10,5150 Combat League / Xtreme Fighting League - New Year's Revolution
TCI,tier4,0.35,true,10,TCI - Fight Hunger
RM,tier4,0.35,true,10,RM 5 - Road to the Championship
CFM,tier4,0.35,true,10,CFM - Ultimate Fighting Mexico
BATB,tier4,0.35,true,10,BATB - Brawl at the Beach
JKD,tier4,0.35,true,10,JKD - Challenge 2
Jue Cheng King,tier4,0.35,true,9,Jue Cheng King - JCK Fight Night 94
Adventure Fighters Tournament,tier4,0.35,true,9,Adventure Fighters Tournament - AFT 17
SHP,tier4,0.35,true,9,SHP 59 - Strike Hard Productions 59
FSF,tier4,0.35,true,9,FSF - Front Street Fights 19
Elite,tier4,0.35,true,9,Elite 1  - Meltdown
TCT,tier4,0.35,true,9,TCT - Texas City Throwdown 1
AFN,tier4,0.35,true,9,AFN - Adrenalin Fight Nights
AAMMA,tier4,0.35,true,9,AAMMA 44 - Absolute Action MMA 44
NEC,tier4,0.35,true,9,NEC 17 - North Extreme Cagefighting 17
FMP,tier4,0.35,true,9,FMP 16 - We Don't Stop
BFN,tier4,0.35,true,9,BFN 3 - Bangkok Fight Night 3
Synergy FC,tier4,0.35,true,9,Synergy FC 16 - Walker vs. Lewis
Roshambo MMA,tier4,0.35,true,9,Roshambo MMA 3 - In the Cage
VFN,tier4,0.35,true,9,VFN - Vegas Fight Night
Tech-Krep FC,tier4,0.35,true,9,Tech-Krep FC - Prime Selection 10
Hero FC,tier4,0.35,true,9,Hero FC - Best of the Best 4
Triple A MMA,tier4,0.35,true,9,Triple A MMA 4 - Caged Hostility
FFA,tier4,0.35,true,9,FFA - New Talents 15
LFN,tier4,0.35,true,9,LFN 2 - Ladies Fight Night
Trophy MMA,tier4,0.35,true,9,Trophy MMA 8 - Easter Bash 2
Fight Party,tier4,0.35,true,9,Fight Party - Masquerade Fight Party
Moosin,tier4,0.35,true,9,Moosin - God of Martial Arts
Black Combat,tier4,0.35,true,9,Black Combat - BnD Black Cup: Eurasia vs. Korea Omega
KC,tier4,0.35,true,9,KC - Katana Cagefighting
Most Valuable Promotions,tier4,0.35,true,9,Most Valuable Promotions - Rousey vs. Carano
FW,tier4,0.35,true,9,FW 4 - Fightworld 4
UCM,tier4,0.35,true,9,UCM 12 - Roosters in the Hexagon
Golden Boy MMA,tier4,0.35,true,9,Golden Boy MMA - Liddell vs. Ortiz 3: War's End
CK,tier4,0.35,true,9,CK - Cage Kumite 2
PAC,tier4,0.35,true,9,PAC - Pancration Atrium Cup 2
Madtown Throwdown,tier4,0.35,true,9,Madtown Throwdown 26 - The Return
The Cage Vol.,tier4,0.35,true,9,The Cage Vol. 4 - Redemption
Battleground,tier4,0.35,true,9,Battleground - Perry vs. Mundell
Nemesis Fighting,tier4,0.35,true,9,Nemesis Fighting - MMA Global Invasion
EWC,tier4,0.35,true,9,EWC 1 - Elite Warriors Championship 1
Heat XC,tier4,0.35,true,9,Heat XC 4 - Hysteria
WCA,tier4,0.35,true,9,WCA - Pure Combat
SuperFights MMA,tier4,0.35,true,9,SuperFights MMA - Night of Combat 2
P & G,tier4,0.35,true,9,P & G 3 - Glory Days
G5,tier4,0.35,true,9,G5 - Gimme Five
Valor Fighting,tier4,0.35,true,9,Valor Fighting - 4th and B
WCNHBC,tier4,0.35,true,9,WCNHBC - West Coast NHB Championships 2
Real Rhythm,tier4,0.35,true,9,Real Rhythm - 4th Stage
ZT Fight Night,tier4,0.35,true,9,ZT Fight Night - Heavyweights Collide
VATV,tier4,0.35,true,9,VATV 9 - Vengeance at the Vanderbilt 9
Lumax Cup,tier4,0.35,true,9,Lumax Cup - Tournament of J '97 Lightweight Tournament
U,tier4,0.35,true,9,U - Japan
Kickfest,tier4,0.35,true,9,Kickfest 11 - Fall Brawl
OFFF,tier4,0.35,true,9,OFFF 3 - Oklahoma Free Fight Federation 3
Smash,tier4,0.35,true,8,Smash - Smash Fight 2
Alpha One Sports,tier4,0.35,true,8,Alpha One Sports - IT Fight Series 72
BYE,tier4,0.35,true,8,BYE 8	 - Berkut Young Eagles: Grand-Prix Berkut Finals
CageSport MMA,tier4,0.35,true,8,CageSport MMA - CageSport 60
Triple X Cagefighting,tier4,0.35,true,8,Triple X Cagefighting - Legends 6
XFMMA,tier4,0.35,true,8,XFMMA - XForce MMA 10
CWA,tier4,0.35,true,8,CWA - Cage Warriors Academy Wales 2
ICE FC,tier4,0.35,true,8,ICE FC - ICE Fighting Championships 17
Ignite Fights,tier4,0.35,true,8,Ignite Fights - Mecca 20
In Ya Face,tier4,0.35,true,8,In Ya Face - Caged Warrior Championship 16
FTP,tier4,0.35,true,8,FTP - Global Showdown
WMMAF,tier4,0.35,true,8,WMMAF - WMAC 2011 Finals
WG,tier4,0.35,true,8,WG - Worldwide Gladiator
BCMMA,tier4,0.35,true,8,BCMMA - Balloutta Combat MMA
KOC,tier4,0.35,true,8,KOC - Knock Out Championship 8
RWC,tier4,0.35,true,8,RWC 5 - Bez Przebaczenia
AXS TV Fights,tier4,0.35,true,8,AXS TV Fights - RFA vs. Legacy Superfight
SJSF,tier4,0.35,true,8,SJSF - Sao Jose Super Fight 2
FTD,tier4,0.35,true,8,FTD - Face the Danger 23
ACC,tier4,0.35,true,8,ACC 43 - Amateur Combat Club
Demolidor Fight MMA,tier4,0.35,true,8,Demolidor Fight MMA 24 - Demolidor Fight 24
Rise FC,tier4,0.35,true,8,Rise FC 5 - Rise Fighting Championship
Vendetta Fighting Championship,tier4,0.35,true,8,Vendetta Fighting Championship - A Night of Vengeance
ECSC,tier4,0.35,true,8,ECSC - Friday Night Fights 3
Coalition of Combat,tier4,0.35,true,8,Coalition of Combat - Free 4 All
Flawless FC,tier4,0.35,true,8,Flawless FC 3 - California Love
NOW,tier4,0.35,true,8,NOW - Night of Warriors 15
Prime,tier4,0.35,true,8,Prime - MMA Championship 3
Battlefield FC,tier4,0.35,true,8,Battlefield FC 1 - The Great Beginning
Fight Club,tier4,0.35,true,8,Fight Club 1 - Brazilian Stars
PFL Super Fights,tier2_5,0.68,false,8,PFL Super Fights - PFL vs. Bellator Champs
IMVT,tier4,0.35,true,8,IMVT - Iron Man Vale Tudo 29
WMMA,tier4,0.35,true,8,WMMA 1 - Fighting for a Better World
Pure MMA,tier4,0.35,true,8,Pure MMA 2 - Next Episode
K-1 MMA,tier4,0.35,true,8,K-1 MMA - Romanex
BCX,tier4,0.35,true,8,BCX 4 - Battle Cage Xtreme 4
Brutaal Fight Night,tier4,0.35,true,8,Brutaal Fight Night - It's War
HDNet Fights,tier4,0.35,true,8,HDNet Fights - Reckless Abandon
Venom,tier4,0.35,true,8,Venom - First Strike
TNF,tier4,0.35,true,8,TNF - Tuesday Night Fights
UP,tier4,0.35,true,8,UP 1 - Ultimate Pankration 1
X-1 Events,tier4,0.35,true,8,X-1 Events - Champions
IFA,tier4,0.35,true,8,IFA - Ultimate Trials
CFX / XKL,tier4,0.35,true,8,CFX / XKL - Mayhem in Minneapolis
RITC Tucson,tier4,0.35,true,8,RITC Tucson 5 - Rage in the Cage Tucson 5
BRB,tier4,0.35,true,8,BRB - Bar Room Brawl 10
CT,tier4,0.35,true,8,CT - Cage Thug
BOTM,tier4,0.35,true,8,BOTM 2 - Battle of the Masters 2
RnB,tier4,0.35,true,8,RnB 2 - Bare Knuckle Brawl
Imperium,tier4,0.35,true,7,Imperium - MMA Pro 2
SMF,tier4,0.35,true,7,SMF - Salvaterra Marajo Fight 2
Kombat League,tier4,0.35,true,7,Kombat League - Italian Extreme 10
EFL,tier4,0.35,true,7,EFL - Elite Fight League 6
FMMAMG,tier4,0.35,true,7,FMMAMG - Federacao Fight 8
IPFC,tier4,0.35,true,7,IPFC - YunFeng Duel: Global Kung Fu Masters
PMMAF,tier4,0.35,true,7,PMMAF - Polish MMA Championships Finals
FK MMA,tier4,0.35,true,7,FK MMA - Favela Kombat 32: Pedra vs. Nogueira
Panama Fight League,tier4,0.35,true,7,Panama Fight League - Ultimate Combat Challenge 48: Meza vs. Luna
Hit-FC,tier4,0.35,true,7,Hit-FC - Hit Fighting Championship 4
Alash Pride FC,tier4,0.35,true,7,Alash Pride FC - Fortress and Friendship of People
LAMMQ,tier4,0.35,true,7,LAMMQ - Quebec Mixed Martial Arts League 5
Dragon FC,tier4,0.35,true,7,Dragon FC - Dragon Fighting Championship
Spartan Fight,tier4,0.35,true,7,Spartan Fight 9 - Browarski vs Kondraciuk
CFN,tier4,0.35,true,7,CFN 5 - Coatza Fight Night 5
Rize,tier4,0.35,true,7,Rize 4 - Crowning Glory
BH Fight,tier4,0.35,true,7,BH Fight - BH Sparta 8
FCP,tier4,0.35,true,7,FCP 3 - Khalidov vs. Troeng
Liga Kavkaz,tier4,0.35,true,7,Liga Kavkaz - Dagestan Open Combat Sambo Championship
RA,tier4,0.35,true,7,RA - Royal Arena 2
M-1 Selection Ukraine,tier3,0.55,false,7,M-1 Selection Ukraine 2010 - The Finals
Fight UK MMA,tier4,0.35,true,7,Fight UK MMA - Fight UK 6
BFFC,tier4,0.35,true,7,BFFC - Bullet Fly Fighting Championship 3
SFFN,tier4,0.35,true,7,SFFN 39 - Conquer
DFD,tier4,0.35,true,7,DFD - Duel for Domination 7
AT,tier4,0.35,true,7,AT - Amazon Talent 7
OF,tier4,0.35,true,7,OF - Octagon Fight
Imortal,tier4,0.35,true,7,Imortal - Imortal FC 6
TFMMA,tier4,0.35,true,7,TFMMA - Top Fighter MMA 2
TFA,tier4,0.35,true,7,TFA 12 - Total Fighting Alliance 12
FMMMA,tier4,0.35,true,7,FMMMA - Fight Me MMA
Real Fight Arena,tier4,0.35,true,7,Real Fight Arena - RFA 21 x ZHS
fightFORCE,tier4,0.35,true,7,fightFORCE - Day of Anger
La Onda,tier4,0.35,true,7,La Onda - MMA Gladiators
Victory Fighting Championship,tier4,0.35,true,7,Victory Fighting Championship - VFC Fight Night Coco Key
Rites of Passage,tier4,0.35,true,7,Rites of Passage 21 - Throwdown
Black FC,tier4,0.35,true,7,Black FC 5 - Black Fighting Championships 5
Challenge MMA,tier4,0.35,true,7,Challenge MMA 2 - Think Big
EVO MMA,tier4,0.35,true,7,EVO MMA - Evolution MMA
GUFF,tier4,0.35,true,7,GUFF - Determination
PNRF,tier4,0.35,true,7,PNRF - Demolition
RIE,tier4,0.35,true,7,RIE 2 - Brotherly Love Brawl
GWC,tier4,0.35,true,7,GWC - The British Invasion: U.S. vs. U.K.
Valor Fight,tier4,0.35,true,7,Valor Fight 9 - Potter vs. Dare
FN,tier4,0.35,true,7,FN - Fight Night 3
KE,tier4,0.35,true,7,KE - Kick Enterprises
LITC,tier4,0.35,true,7,LITC 1 - Locked in the Cage 1
Fury Fights,tier4,0.35,true,7,Fury Fights - Battle in Brookings 3
NLE,tier4,0.35,true,7,NLE - No Love Entertainment
Raw Combat,tier4,0.35,true,7,Raw Combat - Resurrection
ROT,tier4,0.35,true,7,ROT - Ring of Truth 6
MTXAFN,tier4,0.35,true,7,MTXAFN 2 - Evolution
CSC,tier4,0.35,true,7,CSC - River City Rumble
BG,tier4,0.35,true,7,BG 2 - Brazilian Gladiators 2
Shido,tier4,0.35,true,7,Shido - This is Shido 5
CLM,tier4,0.35,true,7,CLM 2 - Combate Libre Mexico 2
GT,tier4,0.35,true,7,GT - Golden Trophy 2000
UCC Hawaii,tier4,0.35,true,7,UCC Hawaii - Eruption in Hawaii
Blueblood MMA,tier4,0.35,true,7,Blueblood MMA - Trials of a Gladiator 9
CCCF,tier4,0.35,true,7,CCCF - Contenders
WEFC,tier4,0.35,true,7,WEFC 1 - Bring It On
Israel Fighting Championship,tier4,0.35,true,7,Israel Fighting Championship - Genesis
IEF,tier4,0.35,true,7,IEF - Iowa Extreme Fighting
BRFC,tier4,0.35,true,6,BRFC - Brazilian Fighting Championship 4
Revelation FC,tier4,0.35,true,6,Revelation FC - Revelation Fighting Championship 5
HDH,tier4,0.35,true,6,HDH 69 / Revelation FC - Hombres de Honor 69
FMS,tier4,0.35,true,6,FMS 3 - Fight Music Show 3: Popo vs. Jr. Duble
Prime Fighting,tier4,0.35,true,6,Prime Fighting 8 - Springer vs. Erosa
Combate Extremo,tier4,0.35,true,6,Combate Extremo - Loco vs. Gallito
