canonical_id,fullName,nationality,photo_url,photo_license,ufc_id
4372f2baf2131250,Shamil Abdurakhimov,Russia,https://commons.wikimedia.org/wiki/Special:FilePath/Shamil%20Abdurakhimov%20at%20UFC%20Fight%20Night%20136.png?width=400,Wikimedia Commons (verify per-file),shamil-abdurakhimov
02daaff72f859e6e,Cheyanne Vlismas,United States,,,cheyanne-buys
a6d428cee57daf21,Saidyokub Kakhramonov,Uzbekistan,,,
21e42c25f8200a44,Sergey Morozov,Kazakhstan,,,
ef49463c1b030ad3,Darren Till,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Darren%20Till%20in%202020.png?width=400,Wikimedia Commons (verify per-file),darren-till
7851263522fb102d,Dalcha Lungiambula,Democratic Republic of the Congo,,,dalcha-lungiambula
521c47a71a0bf512,Scott Holtzman,United States,,,scott-holtzman
45250c3c3f7ab5ad,Frankie Edgar,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Frankie%20Edgar.jpg?width=400,Wikimedia Commons (verify per-file),frankie-edgar
6bd0d703c648d687,Brad Riddell,New Zealand,,,brad-riddell
2dd7722633b1ce7b,Silvana Gomez Juarez,Argentina,,,
2def730e463beea2,Michael Trizano,United States,,,michael-trizano
0ecdf0e50055dbdc,Nicolae Negumereanu,Romania,,,nicolae-negumereanu
32b54efa17dd09e6,Darrick Minner,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Darrick%20Minner%20at%20MCF%2018.jpg?width=400,Wikimedia Commons (verify per-file),darrick-minner
ec2c1c878d169469,Shanna Young,United States,,,shanna-young
a4264e3d664f208f,Benito Lopez,United States,,,benito-lopez
affb659e10d6cd2d,Liudvik Sholinian,Ukraine,,,liudvik-sholinian
9ee1b4b7ce888501,Jared Vanderaa,United States,,,jared-vanderaa
82ba41d5b0d1bd4d,TJ Dillashaw,United States,https://commons.wikimedia.org/wiki/Special:FilePath/TJ%20Dillashaw.png?width=400,Wikimedia Commons (verify per-file),tj-dillashaw
785759d90c61ba89,Misha Cirkunov,Latvia,https://commons.wikimedia.org/wiki/Special:FilePath/Misha%20Cirkunov%20%28photo%20by%20Todd%20Prescott%29.jpg?width=400,Wikimedia Commons (verify per-file),misha-cirkunov
0432ba12b6296c1d,Brandon Davis,United States,,,brandon-davis
b0fc9b463c44f7ea,Nick Maximov,United States,,,nick-maximov
0662ef4422da2b62,Mike Jackson,,,,mike-jackson
0f5f06baf411efde,Francisco Trinaldo,Brazil,,,francisco-trinaldo
854e005d02f4fc4d,Jesse Ronson,Canada,,,jesse-ronson
aa24645f9e10d443,Krzysztof Jotko,Poland,https://commons.wikimedia.org/wiki/Special:FilePath/Krzysztof%20Jotko.JPG?width=400,Wikimedia Commons (verify per-file),krzysztof-jotko
416fb42c0fa5f7f5,Randy Costa,United States,,,randy-costa
c218493d5752901e,Alen Amedovski,Italy,,,alen-amedovski
31043c77d0796678,Nate Diaz,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Nate%20Diaz%202009.jpg?width=400,Wikimedia Commons (verify per-file),nate-diaz
03e27747dcc820b7,Alessio Di Chirico,Italy,,,alessio-di-chirico
84a0f4e2cc595935,Khalid Taha,Lebanon,,,khalid-taha
bf516243a7e143d6,Luke Rockhold,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Luke%20Rockhold%202025.jpg?width=400,Wikimedia Commons (verify per-file),luke-rockhold
74f92ba368c34527,Wu Yanan,People's Republic of China,,,wu-yanan
3e7473db3e9cd66d,Leonardo Santos,Brazil,,,leonardo-santos
9d56d022b89c876b,Luis Saldana,United States,,,luis-saldana
f2093bbdb37c45da,Dominick Cruz,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Dominick-cruz.jpg?width=400,Wikimedia Commons (verify per-file),dominick-cruz
345d5e7b840840a7,Nina Nunes,United States,,,nina-nunes
c5915a36a2292c64,Jason Witt,United States,,,jason-witt
e3f7c41decece828,Thiago Santos,Brazil,,,thiago-santos
83c4c92f55a67eb0,Sam Alvey,United States,https://commons.wikimedia.org/wiki/Special:FilePath/SamAlvey.jpg?width=400,Wikimedia Commons (verify per-file),sam-alvey
b00a827ba950711c,Miranda Granger,United States,,,miranda-granger
6e0125117e60787c,Alexander Gustafsson,Sweden,https://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20%22The%20Mauler%22%20Gustafsson%202014.jpg?width=400,Wikimedia Commons (verify per-file),alexander-gustafsson
8f8acc8ee6e86f42,Charles Rosa,United States,,,charles-rosa
426a84763e12ff85,Claudio Silva,Brazil,,,claudio-silva
cd0f641530fba765,Shane Burgos,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Shane%20Burgos%20at%20UFC%20230.jpg?width=400,Wikimedia Commons (verify per-file),shane-burgos
3411cece8b9fb184,Dwight Grant,United States,,,dwight-grant
2651aa1e611abadc,Antonina Shevchenko,Russia,,,antonina-shevchenko
5d2616ed7d9393ad,Cortney Casey,United States,,,cortney-casey
6714baa6b0fabf58,Karl Roberson,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Roberson%20Jan%2019%2C%202019.jpg?width=400,Wikimedia Commons (verify per-file),karl-roberson
f9ac8755c4e77c77,Donald Cerrone,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Donald%20%22Cowboy%22%20Cerrone.jpg?width=400,Wikimedia Commons (verify per-file),donald-cerrone
