normalized_name,source,canonical_id
christian rodriguez,ufc,a8cd76e59b7c49ab
rafael cerquiera,ufc,b8ba4f48c57725f9
toshiomi kazama,ufc,4ffd2b01b7394143
gilbert urbina,ufc,bcfa27125bcecc19
julija stoliarenko,ufc,8e35a9fe9a57b69f
elves brener,ufc,db353d75993d42c3
karol rosa,ufc,b9df3acc0fbdbbc3
elizeu zaleski dos santos,ufc,c2c7b0cf6428c50e
rinya nakamura,ufc,1bd08c84baf0f0e2
nathan fletcher,ufc,72b4261811f6d97c
nick klein,ufc,28061eae5a6884c3
austin bashi,ufc,87bd1fc4820e6e6f
robert whittaker,ufc,40531c8f39f016fe
marcus mcghee,ufc,3a70cd0ddb52f7f7
shara magomedov,ufc,0d9f2d60c2483ea0
bryce mitchell,ufc,b28df5607a6b1db8
said nurmagomedov,ufc,00de3a4bfdc4a1ba
damon blackshear,ufc,e6abc381d85dfa34
amanda ribas,ufc,60bc6c8b8e95bd3c
mohammad yahya,ufc,d5ac91a888b66ee6
