canonical_id,fullName,nickname,weightClass,gender,W,L,D,fightCount,height,stance,sherdogId,aliases
926355dc621555bb,Jay Silva,,Middleweight,Male,0,2,0,2,"6' 2""",Southpaw,,Jay Silva
39270190e20c9e84,Kyle Bradley,,Lightweight,Male,1,3,0,4,"5' 9""",Orthodox,Kyle-Bradley-7918,Kyle Bradley
b80602c582137cc1,Wilson Gouveia,,Light Heavyweight,Male,6,4,0,10,"6' 1""",Orthodox,Wilson-Gouveia-3070,Wilson Gouveia
37a64b4fce96980f,Shane Nelson,,Lightweight,Male,2,2,0,4,"5' 9""",Southpaw,Shane-Nelson-11262,Shane Nelson
9fa664166ac556c3,Kevin Burns,,Welterweight,Male,2,3,0,5,"5' 10""",Orthodox,Kevin-Burns-20512,Kevin Burns
95e54695de4b7c8f,Houston Alexander,,Light Heavyweight,Male,2,4,0,6,"6' 0""",Orthodox,Houston-Alexander-2352,Houston Alexander
e5b8e4d509d21071,Marcus Jones,,Heavyweight,Male,0,1,0,1,"6' 6""",Orthodox,,Marcus Jones
a0cc96195b64aa09,Darrill Schoonover,,Heavyweight,Male,0,1,0,1,"6' 2""",Orthodox,Darrill-Schoonover-33084,Darrill Schoonover
7ac6a415d3f79f90,Justin Wren,,Heavyweight,Male,0,1,0,1,"6' 2""",Orthodox,Justin-Wren-21401,Justin Wren
ea3aa65260809983,Jake Rosholt,,Middleweight,Male,1,2,0,3,"6' 1""",Orthodox,Jake-Rosholt-23322,Jake Rosholt
14cafec198ecd13d,Brock Larson,,Welterweight,Male,3,3,0,6,"5' 11""",Southpaw,Brock-Larson-6373,Brock Larson
e533f1d6f08c6544,Jason Dent,,Lightweight,Male,1,3,0,4,"5' 10""",Orthodox,Jason-Dent-8321,Jason Dent
44b0d8a8cfaed5fc,Denis Kang,,Middleweight,Male,1,2,0,3,"5' 11""",Orthodox,Denis-Kang-935,Denis Kang
e79cd2054eb3700d,Rolando Delgado,,Lightweight,Male,1,2,0,3,"6' 3""",Orthodox,,Rolando Delgado
8cdf08e5b0619387,Antoni Hardonk,,Heavyweight,Male,4,4,0,8,"6' 4""",Orthodox,Antoni-Hardonk-1518,Antoni Hardonk
f4f5d820727d0111,Razak Al-Hassan,,Light Heavyweight,Male,0,2,0,2,"6' 2""",Orthodox,Razak-AlHassan-23326,Razak Al-Hassan
acd1e1af435d1cd7,Hermes Franca,,Lightweight,Male,6,5,0,11,"5' 6""",Orthodox,Hermes-Franca-3068,Hermes Franca
c39da331ae1fb5c6,Drew McFedries,,Middleweight,Male,4,5,0,9,"6' 0""",Southpaw,Drew-McFedries-2386,Drew McFedries
e07bd7ac97d249dc,Roger Huerta,,Lightweight,Male,6,2,0,8,"5' 9""",Orthodox,Roger-Huerta-10089,Roger Huerta
276449943d118f05,Chris Wilson,,Welterweight,Male,1,3,0,4,"6' 1""",Orthodox,Chris-Wilson-9281,Chris Wilson
c0b25d6da4ada1a3,Justin McCully,,Heavyweight,Male,2,2,0,4,"6' 1""",Orthodox,Justin-McCully-930,Justin McCully
737294bf3cb63b33,Marcus Aurelio,,Lightweight,Male,2,4,0,6,"5' 10""",Orthodox,Marcus-Aurelio-4833,Marcus Aurelio
b2e79264d6377469,Dan Cramer,,Welterweight,Male,1,1,0,2,"6' 2""",Orthodox,,Dan Cramer
5f0f377b25b5f9d3,Danillo Villefort,,Welterweight,Male,0,1,0,1,"6' 1""",Orthodox,,Danillo Villefort
8dc68849a49d22de,Jake O'Brien,,Heavyweight,Male,4,3,0,7,"6' 3""",Orthodox,Jake-OBrien-14892,Jake O'Brien
783c63d6e7d15285,Mike Ciesnolevicz,,Light Heavyweight,Male,1,1,0,2,"6' 0""",Orthodox,Mike-Ciesnolevicz-14047,Mike Ciesnolevicz
1874eb38cd2d9566,Frank Lester,,Welterweight,Male,0,1,0,1,"5' 11""",Orthodox,Frank-Lester-22791,Frank Lester
56172b61dffdf5aa,Cameron Dollar,,Lightweight,Male,0,1,0,1,"5' 11""",Orthodox,,Cameron Dollar
a99c2aeeaf679094,Dale Hartt,,Lightweight,Male,1,2,0,3,"5' 10""",Orthodox,Dale-Hartt-11970,Dale Hartt
a12af6a3519429fd,Denis Stojnic,,Heavyweight,Male,0,2,0,2,"6' 0""",Orthodox,Denis-Stojnic-12955,Denis Stojnic
0093db45b442209a,Xavier Foupa-Pokam,,Middleweight,Male,0,2,0,2,"6' 1""",Open Stance,Xavier-FoupaPokam-8761,Xavier Foupa-Pokam
194fe7babbcf3a1b,Andre Gusmao,,Light Heavyweight,Male,0,2,0,2,"6' 0""",Orthodox,Andre-Gusmao-15806,Andre Gusmao
3562015073af54ef,Brandon Wolff,,Welterweight,Male,0,2,0,2,"5' 9""",Orthodox,Brandon-Wolff-4673,Brandon Wolff
